epoch 1, iteration 209:	running loss = 1.282	validation loss = 0.415
epoch 1, iteration 219:	running loss = 1.234	validation loss = 0.367
epoch 1, iteration 229:	running loss = 1.206	validation loss = 0.354
epoch 1, iteration 239:	running loss = 1.161	validation loss = 0.377
epoch 1, iteration 249:	running loss = 1.162	validation loss = 0.374
epoch 1, iteration 259:	running loss = 1.120	validation loss = 0.446
epoch 1, iteration 269:	running loss = 1.090	validation loss = 0.422
epoch 1, iteration 279:	running loss = 1.058	validation loss = 0.389
epoch 1, iteration 289:	running loss = 1.025	validation loss = 0.385
epoch 1, iteration 299:	running loss = 0.995	validation loss = 0.382
epoch 1, iteration 309:	running loss = 0.978	validation loss = 0.365
epoch 1, iteration 319:	running loss = 0.949	validation loss = 0.350
epoch 1, iteration 329:	running loss = 0.932	validation loss = 0.353
epoch 1, iteration 339:	running loss = 0.913	validation loss = 0.344
epoch 1, iteration 349:	running loss = 0.913	validation loss = 0.326
epoch 1, iteration 359:	running loss = 0.893	validation loss = 0.317
epoch 1, iteration 369:	running loss = 0.876	validation loss = 0.316
starting epoch 2 / 2
epoch 2, iteration 9:	running loss = 0.226	validation loss = 0.323
epoch 2, iteration 19:	running loss = 0.148	validation loss = 0.328
epoch 2, iteration 29:	running loss = 0.151	validation loss = 0.336
epoch 2, iteration 39:	running loss = 0.170	validation loss = 0.342
epoch 2, iteration 49:	running loss = 0.199	validation loss = 0.342
epoch 2, iteration 59:	running loss = 0.235	validation loss = 0.337
epoch 2, iteration 69:	running loss = 0.219	validation loss = 0.344
epoch 2, iteration 79:	running loss = 0.202	validation loss = 0.344
epoch 2, iteration 89:	running loss = 0.198	validation loss = 0.349
epoch 2, iteration 99:	running loss = 0.194	validation loss = 0.362
epoch 2, iteration 109:	running loss = 0.179	validation loss = 0.375
epoch 2, iteration 119:	running loss = 0.173	validation loss = 0.380
epoch 2, iteration 129:	running loss = 0.180	validation loss = 0.370
epoch 2, iteration 139:	running loss = 0.175	validation loss = 0.364
epoch 2, iteration 149:	running loss = 0.190	validation loss = 0.363
epoch 2, iteration 159:	running loss = 0.203	validation loss = 0.360
epoch 2, iteration 169:	running loss = 0.197	validation loss = 0.358
epoch 2, iteration 179:	running loss = 0.235	validation loss = 0.334
epoch 2, iteration 189:	running loss = 0.223	validation loss = 0.359
epoch 2, iteration 199:	running loss = 0.220	validation loss = 0.348
epoch 2, iteration 209:	running loss = 0.213	validation loss = 0.341
epoch 2, iteration 219:	running loss = 0.210	validation loss = 0.334
epoch 2, iteration 229:	running loss = 0.221	validation loss = 0.348
epoch 2, iteration 239:	running loss = 0.217	validation loss = 0.367
epoch 2, iteration 249:	running loss = 0.252	validation loss = 0.367
epoch 2, iteration 259:	running loss = 0.245	validation loss = 0.448
epoch 2, iteration 269:	running loss = 0.247	validation loss = 0.419
epoch 2, iteration 279:	running loss = 0.246	validation loss = 0.374
epoch 2, iteration 289:	running loss = 0.241	validation loss = 0.369
epoch 2, iteration 299:	running loss = 0.237	validation loss = 0.365
