,primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,time,url,filename
0,afrsil1,[],"['call', 'flight call']",12.391,-1.493,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,08:00,https://www.xeno-canto.org/125458,afrsil1/XC125458.ogg
1,afrsil1,"['houspa', 'redava', 'zebdov']",['call'],19.8801,-155.7254,Euodice cantans,African Silverbill,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,08:30,https://www.xeno-canto.org/175522,afrsil1/XC175522.ogg
3,afrsil1,[],"['alarm call', 'call']",17.0922,54.2958,Euodice cantans,African Silverbill,Oscar Campbell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:00,https://www.xeno-canto.org/205893,afrsil1/XC205893.ogg
4,afrsil1,[],['flight call'],21.4581,-157.7252,Euodice cantans,African Silverbill,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,16:30,https://www.xeno-canto.org/207431,afrsil1/XC207431.ogg
6,afrsil1,[],['call'],21.3561,-158.0205,Euodice cantans,African Silverbill,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:00,https://www.xeno-canto.org/209513,afrsil1/XC209513.ogg
7,afrsil1,[],"['flight call', 'traffic']",10.1538,-0.7996,Euodice cantans,African Silverbill,Phil Gregory,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,09:00,https://www.xeno-canto.org/234994,afrsil1/XC234994.ogg
8,afrsil1,[],['call'],14.5088,-17.0696,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,08:00,https://www.xeno-canto.org/317039,afrsil1/XC317039.ogg
10,afrsil1,[],['call'],-1.3306,36.9251,Euodice cantans,African Silverbill,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,13:30,https://www.xeno-canto.org/344134,afrsil1/XC344134.ogg
11,afrsil1,[],['call'],17.1024,54.45,Euodice cantans,African Silverbill,Matthias Feuersenger,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:17,https://www.xeno-canto.org/371226,afrsil1/XC371226.ogg
13,afrsil1,[],['call'],17.0922,54.2958,Euodice cantans,African Silverbill,Oscar Campbell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,12:30,https://www.xeno-canto.org/445331,afrsil1/XC445331.ogg
14,afrsil1,[],"['adult', 'sex uncertain']",11.8047,13.1966,Euodice cantans,African Silverbill,Sun Madakan ,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,09:00,https://www.xeno-canto.org/597072,afrsil1/XC597072.ogg
17,akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:00,https://www.xeno-canto.org/174954,akekee/XC174954.ogg
18,akekee,"['apapan', 'warwhe1']","['call', 'male']",22.1467,-159.6134,Loxops caeruleirostris,Akekee,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,09:00,https://www.xeno-canto.org/210201,akekee/XC210201.ogg
20,akekee,['iiwi'],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:30,https://www.xeno-canto.org/27306,akekee/XC27306.ogg
21,akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,11:45,https://www.xeno-canto.org/27320,akekee/XC27320.ogg
22,akepa1,"['akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi']",['call'],19.6292,-155.3597,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:14,https://www.xeno-canto.org/122473,akepa1/XC122473.ogg
24,akepa1,"['apapan', 'iiwi']",['call'],19.6294,-155.3615,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,11:53,https://www.xeno-canto.org/124794,akepa1/XC124794.ogg
25,akepa1,"['apapan', 'iiwi', 'warwhe1']",['call'],19.8224,-155.2964,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,14:07,https://www.xeno-canto.org/127673,akepa1/XC127673.ogg
27,akepa1,"['apapan', 'iiwi', 'warwhe1']","['call', 'song']",19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:00,https://www.xeno-canto.org/175511,akepa1/XC175511.ogg
28,akepa1,"['apapan', 'iiwi']",['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:30,https://www.xeno-canto.org/175512,akepa1/XC175512.ogg
30,akepa1,['iiwi'],['song'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:40,https://www.xeno-canto.org/27348,akepa1/XC27348.ogg
31,akepa1,['iiwi'],['call'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:40,https://www.xeno-canto.org/27356,akepa1/XC27356.ogg
32,akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,12:31,https://www.xeno-canto.org/122399,akiapo/XC122399.ogg
