,primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,time,url,filename
0,afrsil1,[],"['call', 'flight call']",12.391,-1.493,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,08:00,https://www.xeno-canto.org/125458,afrsil1/XC125458.ogg
4,afrsil1,[],['flight call'],21.4581,-157.7252,Euodice cantans,African Silverbill,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,16:30,https://www.xeno-canto.org/207431,afrsil1/XC207431.ogg
6,afrsil1,[],['call'],21.3561,-158.0205,Euodice cantans,African Silverbill,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,11:00,https://www.xeno-canto.org/209513,afrsil1/XC209513.ogg
8,afrsil1,[],['call'],14.5088,-17.0696,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,08:00,https://www.xeno-canto.org/317039,afrsil1/XC317039.ogg
9,afrsil1,[],['call'],14.7279,-17.4329,Euodice cantans,African Silverbill,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:30,https://www.xeno-canto.org/322742,afrsil1/XC322742.ogg
11,afrsil1,[],['call'],17.1024,54.45,Euodice cantans,African Silverbill,Matthias Feuersenger,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:17,https://www.xeno-canto.org/371226,afrsil1/XC371226.ogg
14,afrsil1,[],"['adult', 'sex uncertain']",11.8047,13.1966,Euodice cantans,African Silverbill,Sun Madakan ,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,09:00,https://www.xeno-canto.org/597072,afrsil1/XC597072.ogg
15,afrsil1,[],['call'],17.0578,42.9626,Euodice cantans,African Silverbill,Gregory Askew,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,10:30,https://www.xeno-canto.org/650014,afrsil1/XC650014.ogg
17,akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,10:00,https://www.xeno-canto.org/174954,akekee/XC174954.ogg
18,akekee,"['apapan', 'warwhe1']","['call', 'male']",22.1467,-159.6134,Loxops caeruleirostris,Akekee,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,09:00,https://www.xeno-canto.org/210201,akekee/XC210201.ogg
21,akekee,[],['call'],22.1467,-159.6134,Loxops caeruleirostris,Akekee,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,11:45,https://www.xeno-canto.org/27320,akekee/XC27320.ogg
23,akepa1,"['apapan', 'iiwi', 'warwhe1']",['call'],19.6223,-155.3598,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,12:37,https://www.xeno-canto.org/122672,akepa1/XC122672.ogg
24,akepa1,"['apapan', 'iiwi']",['call'],19.6294,-155.3615,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,11:53,https://www.xeno-canto.org/124794,akepa1/XC124794.ogg
26,akepa1,"['akiapo', 'apapan', 'hawama', 'omao', 'warwhe1']","['begging call', 'call']",19.5727,-155.3189,Loxops coccineus,Hawaii Akepa,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,17:57,https://www.xeno-canto.org/147002,akepa1/XC147002.ogg
27,akepa1,"['apapan', 'iiwi', 'warwhe1']","['call', 'song']",19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,12:00,https://www.xeno-canto.org/175511,akepa1/XC175511.ogg
30,akepa1,['iiwi'],['song'],19.7901,-155.3273,Loxops coccineus,Hawaii Akepa,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,12:40,https://www.xeno-canto.org/27348,akepa1/XC27348.ogg
34,akiapo,['apapan'],['song'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,16:22,https://www.xeno-canto.org/122693,akiapo/XC122693.ogg
35,akiapo,"['apapan', 'elepai', 'hawama', 'iiwi', 'omao', 'warwhe1']",['call'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,15:58,https://www.xeno-canto.org/124705,akiapo/XC124705.ogg
37,akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.7937,-155.3243,Hemignathus wilsoni,Akiapolaau,Eric VanderWerf,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,15:00,https://www.xeno-canto.org/144826,akiapo/XC144826.ogg
39,akiapo,[],['begging call (?)'],19.7901,-155.3273,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,15:40,https://www.xeno-canto.org/27355,akiapo/XC27355.ogg
40,akiapo,"['hawama', 'iiwi']",['call'],19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,13:30,https://www.xeno-canto.org/27374,akiapo/XC27374.ogg
41,akiapo,['iiwi'],"['call', 'song']",19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:00,https://www.xeno-canto.org/27376,akiapo/XC27376.ogg
42,akiapo,[],['song'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,George Wagner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,12:00,https://www.xeno-canto.org/306424,akiapo/XC306424.ogg
47,akikik,[],['call'],22.0815,-159.555,Oreomystis bairdi,Akikiki,Patrick Blake,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,14:00,https://www.xeno-canto.org/317034,akikik/XC317034.ogg
